Time,P(ex),S,SB
26972,6.5813e-107,0.867046,0.250852
27073,6.87111e-107,0.492027,0.250852
27174,7.17062e-107,0.636469,0.250852
27276,7.48957e-107,0.296938,0.250852
27377,7.81938e-107,0.375148,0.250852
27478,8.16719e-107,0.960611,0.250852
27579,8.52684e-107,0.590406,0.250852
27680,8.89852e-107,0.0752177,0.250852
27798,9.25081e-107,0.787317,0.250852
27899,9.77425e-107,0.658912,0.250852
28001,1.02047e-106,0.375885,0.250852
28102,1.06586e-106,0.0341602,0.250852
28203,1.11232e-106,0.9322,0.250852
28304,1.1618e-106,0.473617,0.250852
28405,1.21296e-106,0.219062,0.250852
28506,1.26637e-106,0.857983,0.250852
28619,1.32101e-106,0.0236463,0.250852
28720,1.38626e-106,0.842432,0.250852
28821,1.44854e-106,0.395624,0.250852
28922,1.51232e-106,0.212911,0.250852
29023,1.57892e-106,0.72331,0.250852
29130,1.64283e-106,0.965043,0.250852
29235,1.7181e-106,0.00383238,0.250852
29338,1.79529e-106,0.258466,0.250852
29439,1.88558e-106,0.0114005,0.250852
29540,1.96861e-106,0.837697,0.250852
29641,2.05442e-106,0.452771,0.250852
29742,2.1458e-106,0.858635,0.250852
29843,2.24029e-106,0.932412,0.250852
29944,2.33795e-106,0.508114,0.250852
30045,2.44194e-106,0.718483,0.250852
30146,2.54947e-106,0.727503,0.250852
30247,2.66174e-106,0.588809,0.250852
30348,2.77895e-106,0.144938,0.250852
30449,2.90132e-106,0.592846,0.250852
30550,3.0265e-106,0.316285,0.250852
30651,3.16247e-106,0.52935,0.250852
30755,3.29891e-106,0.548017,0.250852
30856,3.45154e-106,0.973771,0.250852
30957,3.60353e-106,0.392357,0.250852
31058,3.76221e-106,0.34752,0.250852
31159,3.92788e-106,0.52248,0.250852
31260,4.10085e-106,0.713605,0.250852
31361,4.2796e-106,0.0804171,0.250852
31462,4.46805e-106,0.165234,0.250852
31565,4.66481e-106,0.379568,0.250852
31666,4.86815e-106,0.834965,0.250852
31767,5.08469e-106,0.661862,0.250853
31868,5.31539e-106,0.0991916,0.250853
31969,5.54946e-106,0.520455,0.250853
32070,5.79383e-106,0.0535798,0.250853
32171,6.04638e-106,0.549323,0.250853
32273,6.31264e-106,0.737275,0.250853
32374,6.59624e-106,0.0785472,0.250853
32477,6.88671e-106,0.233565,0.250853
32579,7.1961e-106,0.417083,0.250853
32680,7.51619e-106,0.297518,0.250853
32781,7.84382e-106,0.284065,0.250853
32882,8.18574e-106,0.235287,0.250853
32983,8.5462e-106,0.107029,0.250853
33084,8.92634e-106,0.000614878,0.250853
33186,9.31544e-106,0.479365,0.250853
33287,9.7381e-106,0.376416,0.250853
33388,1.01669e-105,0.00489412,0.250853
33489,1.06101e-105,0.334855,0.250853
33590,1.1082e-105,0.012548,0.250853
33691,1.157e-105,0.421261,0.250853
33792,1.20744e-105,0.667144,0.250853
33893,1.26115e-105,0.892659,0.250853
33994,1.31668e-105,0.14597,0.250853
34095,1.37408e-105,0.658797,0.250853
34196,1.4352e-105,0.261266,0.250853
34297,1.4984e-105,0.903508,0.250853
34398,1.56438e-105,0.903525,0.250853
34504,1.62839e-105,0.34071,0.250853
34605,1.70737e-105,0.227957,0.250853
34706,1.78408e-105,0.874373,0.250853
34807,1.86105e-105,0.221149,0.250853
34908,1.94466e-105,0.609093,0.250853
35009,2.0303e-105,0.222732,0.250853
35110,2.1197e-105,0.36606,0.250853
35211,2.21304e-105,0.991467,0.250853
35312,2.31049e-105,0.443377,0.250853
35413,2.41224e-105,0.860255,0.250853
35514,2.51846e-105,0.54553,0.250853
35615,2.62936e-105,0.121669,0.250853
35716,2.74515e-105,0.223993,0.250853
35817,2.86481e-105,0.181128,0.250853
35918,2.99224e-105,0.391539,0.250853
36019,3.124e-105,0.697811,0.250853
36120,3.26018e-105,0.647825,0.250853
36221,3.39794e-105,0.0793066,0.250853
36325,3.55059e-105,0.174885,0.250853
36426,3.71169e-105,0.255034,0.250853
36527,3.8801e-105,0.74514,0.250853
36628,4.04751e-105,0.604194,0.250853
36729,4.16488e-105,0.212268,0.250853
36830,4.41559e-105,0.0333363,0.250853
36931,4.61003e-105,0.686223,0.250853
37032,4.81304e-105,0.617761,0.250853
37133,5.02498e-105,0.37587,0.250853
37234,5.23955e-105,0.975358,0.250853
37335,5.47728e-105,0.125993,0.250853
37436,5.71603e-105,0.679901,0.250853
37537,5.97029e-105,0.292233,0.250853
37638,6.23053e-105,0.386631,0.250853
37739,6.50767e-105,0.225885,0.250853
37841,6.79424e-105,0.363263,0.250853
37946,7.06624e-105,0.154639,0.250853
38047,7.41527e-105,0.542171,0.250853
38148,7.74841e-105,0.407614,0.250853
38253,8.05518e-105,0.511722,0.250853
38358,8.42425e-105,0.963138,0.250853
38459,8.84791e-105,0.153281,0.250853
38568,9.21391e-105,0.642454,0.250853
38673,9.63608e-105,0.558263,0.250853
38774,1.01164e-104,0.715298,0.250853
38878,1.05169e-104,0.491794,0.250853
38979,1.10411e-104,0.228067,0.250853
39084,1.14831e-104,0.875846,0.250853
39185,1.20606e-104,0.514278,0.250853
39295,1.25648e-104,0.574047,0.250853
39401,1.31461e-104,0.119802,0.250853
39502,1.38073e-104,0.658609,0.250853
39617,1.44153e-104,0.0331642,0.250853
39723,1.50822e-104,0.67199,0.250853
39838,1.58407e-104,0.635222,0.250853
39944,1.65736e-104,0.210955,0.250853
40045,1.7407e-104,0.502456,0.250853
40152,1.81116e-104,0.366481,0.250853
40263,1.899e-104,0.250797,0.250853
40369,1.98686e-104,0.100642,0.250853
40478,2.08145e-104,0.952103,0.250853
40584,2.17774e-104,0.697096,0.250853
40690,2.2785e-104,0.961414,0.250853
40795,2.3829e-104,0.385281,0.250853
40909,2.50166e-104,0.797642,0.250853
41023,2.62635e-104,0.550917,0.250853
41129,2.74786e-104,0.726077,0.250853
41230,2.88605e-104,0.526005,0.250853
41336,3.00159e-104,0.409144,0.250853
41449,3.14985e-104,0.53046,0.250853
41550,3.30826e-104,0.346695,0.250853
41651,3.451e-104,0.0852615,0.250853
41753,3.58609e-104,0.233298,0.250853
41860,3.7536e-104,0.424644,0.250853
41965,3.92559e-104,0.271405,0.250853
42066,4.12301e-104,0.590873,0.250853
42171,4.28624e-104,0.861037,0.250853
42278,4.48646e-104,0.234673,0.250853
42383,4.69202e-104,0.950761,0.250853
42484,4.92588e-104,0.294357,0.250853
42589,5.12308e-104,0.72021,0.250853
42696,5.36239e-104,0.136679,0.250853
42802,5.61048e-104,0.293229,0.250853
42903,5.89263e-104,0.591659,0.250853
43010,6.13115e-104,0.929709,0.250853
43114,6.40934e-104,0.218419,0.250853
43219,6.70301e-104,0.412268,0.250853
43327,7.01911e-104,0.456136,0.250853
43433,7.34385e-104,0.407178,0.250853
43538,7.68033e-104,0.331379,0.250853
43639,7.94701e-104,0.379638,0.250853
43744,8.38594e-104,0.0148789,0.250853
43850,8.77391e-104,0.923327,0.250853
43952,9.16419e-104,0.347335,0.250853
44053,9.62506e-104,0.288069,0.250853
44158,1.00061e-103,0.701996,0.250853
44259,1.05093e-103,0.472929,0.250853
44360,1.09721e-103,0.303238,0.250853
44466,1.14114e-103,0.923494,0.250853
44578,1.19699e-103,0.782083,0.250853
44684,1.25237e-103,0.0804138,0.250853
44785,1.31535e-103,0.307477,0.250853
44892,1.36859e-103,0.188576,0.250853
44997,1.4313e-103,0.156688,0.250853
45103,1.49752e-103,0.97198,0.250853
45204,1.56213e-103,0.849314,0.250853
45309,1.6351e-103,0.469889,0.250853
45414,1.71002e-103,0.295219,0.250853
45515,1.79602e-103,0.24229,0.250853
45628,1.87351e-103,0.0436377,0.250853
45741,1.96605e-103,0.838409,0.250853
45856,2.06492e-103,0.119036,0.250853
45967,2.16507e-103,0.175474,0.250853
46072,2.26427e-103,0.840884,0.250853
